,actual_class,predicted_class,correct_prediction,prediction_probability,confidence,cap-diameter,cap-shape,cap-surface,cap-color,does-bruise-or-bleed,gill-attachment,gill-spacing,gill-color,stem-height,stem-width,stem-root,stem-surface,stem-color,veil-type,veil-color,has-ring,ring-type,spore-print-color,habitat,season
47751,poisonous,poisonous,True,0.9994589441175868,high,4.63,b,h,n,f,unknown,unknown,k,9.32,6.01,unknown,unknown,w,unknown,unknown,t,unknown,k,g,u
41212,poisonous,poisonous,True,0.9998196718250895,high,7.39,x,d,n,f,a,c,y,5.85,7.02,unknown,i,n,unknown,unknown,t,unknown,unknown,d,a
55820,edible,edible,True,0.004673254182565133,high,6.79,s,unknown,n,f,unknown,unknown,w,4.02,21.87,unknown,unknown,n,unknown,unknown,f,f,unknown,d,a
13121,poisonous,poisonous,True,0.999744422143224,high,0.75,x,unknown,o,f,d,unknown,o,4.29,0.98,unknown,unknown,y,unknown,unknown,f,f,w,g,a
36832,poisonous,poisonous,True,0.9999665307699179,high,5.67,x,e,e,f,a,unknown,y,8.02,9.91,unknown,unknown,y,unknown,w,t,z,unknown,d,a
38856,poisonous,poisonous,True,0.999915986998598,high,3.38,x,i,e,f,unknown,unknown,e,4.25,5.03,unknown,unknown,e,unknown,unknown,f,f,n,d,a
6735,edible,edible,True,0.0003041711689900019,high,4.49,x,unknown,l,f,a,unknown,r,6.12,7.53,unknown,unknown,w,unknown,unknown,f,f,unknown,l,u
44386,poisonous,poisonous,True,0.999978476786158,high,6.87,p,s,g,f,unknown,unknown,k,9.83,12.77,unknown,s,w,unknown,unknown,t,z,unknown,d,w
11371,edible,edible,True,0.001828456951569896,high,1.52,c,g,n,f,a,unknown,g,5.19,1.56,unknown,unknown,g,unknown,unknown,f,f,unknown,d,u
49807,poisonous,poisonous,True,0.9982426029444933,high,10.36,x,k,n,t,p,unknown,e,7.0,28.92,c,unknown,y,unknown,unknown,f,f,unknown,d,u
41328,poisonous,poisonous,True,0.9999992214397071,high,8.09,x,e,o,f,a,unknown,y,11.94,19.99,r,unknown,y,unknown,unknown,t,r,n,d,w
51566,edible,edible,True,0.00014246039068247703,high,18.45,x,d,o,f,p,unknown,n,14.68,34.28,s,y,w,unknown,unknown,f,f,unknown,d,a
14411,edible,edible,True,1.6268812221900283e-05,high,5.37,x,h,n,f,a,d,n,5.21,4.92,unknown,t,g,unknown,unknown,t,l,unknown,d,a
14357,edible,edible,True,2.23944044626088e-05,high,5.21,x,t,g,f,a,d,n,5.79,4.77,unknown,t,g,unknown,unknown,t,l,unknown,d,u
40234,poisonous,poisonous,True,0.9999974326343006,high,2.75,c,unknown,u,f,a,c,w,3.99,3.53,unknown,i,u,unknown,unknown,f,f,unknown,p,u
1440,poisonous,poisonous,True,0.9997971830272034,high,10.33,f,h,r,f,unknown,c,w,11.32,17.02,unknown,unknown,w,u,w,t,g,unknown,d,a
56313,poisonous,poisonous,True,0.9999982112850386,high,7.69,o,t,r,f,unknown,c,y,1.89,17.98,unknown,unknown,y,unknown,unknown,f,f,unknown,d,w
6690,edible,edible,True,0.0016988249620205594,high,6.41,s,unknown,n,f,d,c,w,4.23,7.34,unknown,s,w,unknown,unknown,f,f,unknown,l,a
55287,edible,edible,True,8.202048722600613e-05,high,2.77,o,l,n,f,f,f,f,8.09,54.42,unknown,unknown,n,unknown,unknown,f,f,g,d,w
5651,edible,edible,True,0.00016745799029926027,high,14.04,s,e,g,f,d,c,w,7.49,24.67,s,unknown,w,unknown,unknown,f,f,unknown,d,w
18655,poisonous,poisonous,True,0.9999789602462714,high,10.47,f,y,y,f,s,c,y,7.84,19.56,unknown,y,u,unknown,unknown,f,f,unknown,d,a
26665,poisonous,poisonous,True,0.9988686986216582,high,7.93,f,unknown,r,f,x,c,y,7.38,12.06,unknown,unknown,w,unknown,unknown,f,f,unknown,d,a
15745,poisonous,poisonous,True,0.9999435280687106,high,6.08,x,s,g,t,s,d,w,5.53,13.5,r,y,n,unknown,unknown,f,f,unknown,d,u
58467,edible,edible,True,7.199731236520977e-05,high,48.83,o,y,y,f,p,unknown,y,8.69,39.99,unknown,k,k,unknown,unknown,f,f,unknown,d,u
34654,poisonous,poisonous,True,0.9985527764064239,high,2.28,b,g,w,f,unknown,c,n,6.59,3.19,unknown,unknown,n,unknown,unknown,f,f,unknown,m,u
17755,edible,edible,True,0.0054121560605845265,high,9.02,p,unknown,n,f,a,unknown,w,8.34,13.83,unknown,unknown,w,unknown,unknown,f,f,unknown,d,a
16799,edible,edible,True,0.004782238801320267,high,8.39,f,h,n,f,s,unknown,n,9.77,13.2,unknown,t,n,unknown,unknown,f,f,unknown,d,a
411,poisonous,poisonous,True,0.9989175917700541,high,6.8,x,g,n,f,e,unknown,w,7.24,12.94,unknown,y,w,u,w,t,p,unknown,d,a
59651,poisonous,poisonous,True,0.9999967530368447,high,4.86,o,unknown,w,f,f,f,f,5.15,26.74,unknown,g,w,unknown,unknown,t,f,unknown,d,u
25724,poisonous,poisonous,True,0.997515593639997,high,8.2,x,h,e,f,x,d,w,6.35,17.88,b,unknown,w,unknown,unknown,f,f,unknown,d,a
6807,edible,edible,True,3.497287391700247e-05,high,4.2,x,unknown,l,f,d,unknown,r,5.89,7.86,unknown,unknown,l,unknown,unknown,f,f,unknown,l,u
29269,poisonous,poisonous,True,0.9997561099936536,high,5.69,s,unknown,e,t,d,c,b,6.21,6.45,unknown,unknown,n,unknown,unknown,f,f,unknown,d,u
27551,poisonous,poisonous,True,0.9989681683503817,high,6.54,s,d,e,t,d,c,w,5.91,8.49,unknown,unknown,n,unknown,unknown,f,f,unknown,d,a
60127,poisonous,poisonous,True,0.999984079229783,high,9.54,o,unknown,e,f,f,f,f,2.79,23.98,unknown,g,n,unknown,unknown,f,f,unknown,d,u
56185,poisonous,poisonous,True,0.9999577756276434,high,7.1,o,t,r,f,unknown,c,y,1.88,18.44,unknown,unknown,n,unknown,unknown,f,f,unknown,d,w
22543,edible,edible,True,0.015551152152958216,high,7.38,x,t,y,t,x,c,y,8.67,14.43,unknown,unknown,w,unknown,unknown,f,f,unknown,d,a
38941,poisonous,poisonous,True,0.9999039972707416,high,3.7,x,i,e,f,unknown,unknown,e,4.39,4.96,unknown,unknown,e,unknown,unknown,f,f,n,d,a
60248,poisonous,poisonous,True,0.9999781888467645,high,11.66,o,unknown,e,f,f,f,f,4.19,28.68,unknown,g,n,unknown,unknown,f,f,unknown,d,u
25631,poisonous,poisonous,True,0.9981110569628776,high,6.53,x,h,e,f,x,d,w,4.98,16.97,b,unknown,w,unknown,unknown,f,f,unknown,d,u
30920,poisonous,poisonous,True,0.9974476135288883,high,7.49,s,unknown,r,t,d,unknown,o,4.66,12.57,unknown,unknown,w,unknown,unknown,t,f,unknown,d,u
11952,edible,edible,True,0.02641272145798411,high,1.22,x,g,e,t,a,unknown,w,6.1,1.12,unknown,unknown,n,unknown,unknown,f,f,unknown,d,u
49217,edible,edible,True,4.700349159605553e-05,high,8.87,x,d,n,t,p,unknown,r,7.55,13.4,unknown,unknown,e,unknown,unknown,f,f,unknown,d,u
24615,edible,edible,True,0.00037157943728349254,high,8.79,x,e,y,f,x,c,w,6.19,15.24,unknown,unknown,w,unknown,unknown,f,f,unknown,d,u
9204,edible,edible,True,8.431867701409503e-05,high,4.06,b,g,n,f,x,d,w,4.53,2.9,unknown,unknown,y,unknown,unknown,f,f,unknown,g,u
55950,edible,edible,True,0.00463243248155282,high,10.01,s,unknown,n,f,unknown,unknown,w,4.98,25.79,unknown,unknown,n,unknown,unknown,f,f,unknown,d,u
40116,poisonous,poisonous,True,0.9998000907244361,high,2.26,f,unknown,u,f,a,c,n,4.15,3.49,unknown,i,w,unknown,unknown,f,f,unknown,p,a
47672,poisonous,poisonous,True,0.9999868283166163,high,4.73,b,t,n,f,unknown,unknown,k,13.83,6.96,unknown,unknown,w,unknown,unknown,t,unknown,k,g,w
2321,poisonous,poisonous,True,0.999985751017641,high,8.06,b,t,w,f,e,c,w,12.92,12.47,unknown,y,w,u,w,t,e,unknown,d,u
5860,edible,edible,True,0.0012901546054969626,high,15.02,s,e,n,f,d,c,w,10.7,27.98,s,unknown,w,unknown,unknown,f,f,unknown,d,a
44927,poisonous,poisonous,True,0.9956745801790345,high,3.3,b,y,n,f,unknown,c,g,6.33,4.5,s,s,w,unknown,unknown,f,f,unknown,d,a
16046,edible,edible,True,0.0002786951264923277,high,5.35,b,h,g,f,s,d,w,4.64,8.87,unknown,s,g,unknown,unknown,f,f,unknown,d,u
10613,poisonous,poisonous,True,0.9990138093373083,high,2.17,b,unknown,n,f,a,unknown,g,4.58,1.63,unknown,s,g,unknown,unknown,f,f,unknown,d,u
40015,poisonous,poisonous,True,0.9999988026787884,high,3.29,c,unknown,u,f,a,c,w,3.24,3.64,unknown,i,u,unknown,unknown,f,f,unknown,p,u
28060,poisonous,poisonous,True,0.9999942349927843,high,6.12,s,h,r,t,d,unknown,g,4.46,12.86,unknown,t,n,unknown,unknown,f,f,unknown,d,a
28157,poisonous,poisonous,True,0.9992463067219928,high,6.69,s,h,n,t,d,unknown,w,4.59,11.54,unknown,t,r,unknown,unknown,f,f,unknown,d,u
38676,poisonous,poisonous,True,0.9999893628184726,high,8.99,x,unknown,g,t,x,unknown,u,9.72,21.33,s,unknown,u,unknown,u,f,f,unknown,d,a
5733,edible,edible,True,0.0003175219318248787,high,14.61,f,e,n,f,a,c,w,9.08,26.48,s,unknown,w,unknown,unknown,f,f,unknown,d,w
42279,edible,edible,True,2.5971757096397103e-05,high,6.07,f,s,w,f,e,c,p,5.45,12.79,unknown,unknown,w,unknown,w,t,e,unknown,g,a
29004,poisonous,poisonous,True,0.9984501883499057,high,4.09,s,unknown,n,t,d,c,b,6.37,5.96,unknown,unknown,e,unknown,unknown,f,f,unknown,d,u
48589,edible,edible,True,0.002320655493831833,high,18.02,p,w,n,f,p,unknown,w,14.23,68.74,unknown,unknown,n,unknown,unknown,f,f,unknown,d,u
45669,edible,edible,True,0.0006919791826910534,high,1.23,b,g,g,f,unknown,unknown,g,3.2,1.92,unknown,unknown,w,unknown,unknown,f,f,unknown,d,w
54092,poisonous,poisonous,True,0.9995207348473825,high,5.11,s,d,o,f,d,c,y,2.61,5.74,unknown,unknown,y,unknown,unknown,f,f,unknown,d,a
26808,poisonous,poisonous,True,0.9932882028365403,high,6.78,f,unknown,r,f,x,c,n,5.99,11.08,unknown,unknown,w,unknown,unknown,f,f,unknown,d,a
45440,edible,edible,True,0.0040440486337444525,high,3.05,b,y,n,f,unknown,c,k,6.95,3.86,unknown,unknown,w,unknown,unknown,f,f,unknown,d,s
35980,poisonous,poisonous,True,0.9999798558836992,high,3.95,x,t,n,f,a,c,n,3.79,5.42,unknown,y,o,unknown,unknown,t,z,unknown,d,a
2780,edible,edible,True,0.003460715407279328,high,6.75,x,h,n,f,e,unknown,w,13.65,14.0,unknown,s,w,u,w,f,f,unknown,d,u
40059,poisonous,poisonous,True,0.9999734755771841,high,2.99,f,unknown,u,f,a,c,n,4.37,3.6,unknown,i,u,unknown,unknown,f,f,unknown,p,u
36680,poisonous,poisonous,True,0.9999986644240227,high,3.39,b,s,y,f,unknown,c,y,7.99,7.79,unknown,unknown,y,u,w,t,z,k,d,a
46779,edible,edible,True,0.0004933054678139138,high,3.59,x,h,n,f,unknown,c,k,6.13,6.49,unknown,s,w,unknown,w,f,f,k,d,u
58506,edible,edible,True,0.0001473525430740523,high,53.57,o,y,y,f,p,unknown,y,6.33,34.2,unknown,k,k,unknown,unknown,f,f,unknown,d,s
3922,poisonous,poisonous,True,0.9999902704075708,high,2.92,x,y,y,f,a,unknown,w,5.76,3.64,unknown,y,y,unknown,unknown,t,r,unknown,g,a
28438,poisonous,poisonous,True,0.9975643096294291,high,17.26,x,t,n,t,d,c,n,4.91,24.52,unknown,unknown,n,unknown,unknown,f,f,unknown,d,a
27358,poisonous,poisonous,True,0.9995673141667833,high,20.63,x,k,w,t,d,d,n,8.37,33.86,unknown,unknown,w,unknown,unknown,f,f,unknown,d,a
36617,poisonous,poisonous,True,0.9999693016032071,high,3.71,x,s,y,f,unknown,c,k,9.36,7.75,unknown,unknown,y,u,w,t,z,r,d,w
47630,poisonous,poisonous,True,0.999909849097864,high,2.99,b,unknown,g,f,a,unknown,k,9.75,2.51,unknown,unknown,n,unknown,w,f,f,k,g,u
24146,edible,edible,True,0.005990645661215526,high,8.65,f,unknown,e,f,x,c,w,6.72,16.96,unknown,s,w,unknown,unknown,f,f,unknown,d,u
30783,poisonous,poisonous,True,0.9972811624404524,high,7.96,s,unknown,r,t,d,unknown,o,5.38,12.56,unknown,unknown,w,unknown,unknown,t,f,unknown,d,u
44431,poisonous,poisonous,True,0.9993191646526483,high,6.43,p,y,g,f,unknown,unknown,w,11.63,13.76,unknown,s,w,unknown,unknown,t,z,unknown,g,w
20905,poisonous,poisonous,True,0.9999086127445463,high,4.18,f,d,r,f,a,unknown,y,5.24,6.86,unknown,t,y,unknown,unknown,f,f,unknown,g,a
35640,poisonous,poisonous,True,0.999985597341043,high,10.07,x,y,y,f,a,c,y,11.92,14.16,unknown,y,y,unknown,unknown,t,unknown,unknown,d,u
30775,poisonous,poisonous,True,0.9966142578160788,high,9.57,s,unknown,y,t,d,unknown,o,5.46,13.27,unknown,unknown,w,unknown,unknown,t,f,unknown,d,a
33652,edible,edible,True,0.00021127333370047984,high,5.99,x,l,w,f,d,unknown,p,3.37,7.42,unknown,unknown,w,unknown,unknown,f,f,unknown,g,a
30758,poisonous,poisonous,True,0.9982419178352115,high,8.69,s,unknown,o,t,d,unknown,o,5.37,13.15,unknown,unknown,w,unknown,unknown,t,f,unknown,d,u
25429,poisonous,poisonous,True,0.9997106193787745,high,7.44,f,t,e,f,x,d,w,6.22,17.5,b,unknown,w,unknown,unknown,f,f,unknown,d,a
10053,poisonous,poisonous,True,0.9999931394770104,high,0.76,x,g,n,f,a,unknown,p,4.83,1.11,unknown,h,k,unknown,unknown,f,f,unknown,d,u
29629,poisonous,poisonous,True,0.9996952380514296,high,3.12,s,w,o,t,d,c,n,4.05,6.05,unknown,unknown,n,unknown,unknown,f,f,unknown,d,a
31512,edible,edible,True,0.00014771342285964045,high,6.62,x,y,n,f,e,c,w,5.57,9.69,unknown,y,n,unknown,unknown,f,f,unknown,d,a
43365,poisonous,poisonous,True,0.9913604834277499,high,6.73,x,y,w,t,unknown,unknown,w,8.03,14.52,s,unknown,w,unknown,unknown,t,l,unknown,g,u
59645,poisonous,poisonous,True,0.9999978126157925,high,3.97,o,unknown,w,f,f,f,f,4.49,26.24,unknown,g,w,unknown,unknown,t,f,unknown,d,u
58341,edible,edible,True,9.652628865176958e-05,high,48.81,o,y,y,f,p,unknown,y,5.99,38.09,unknown,k,k,unknown,unknown,f,f,unknown,d,u
3289,edible,edible,True,0.007854176309682702,high,15.71,x,y,n,t,e,unknown,w,10.73,18.55,unknown,unknown,w,unknown,unknown,t,unknown,unknown,d,u
33318,poisonous,poisonous,True,0.9756648744776888,high,11.81,x,h,g,f,s,unknown,y,8.26,17.84,unknown,i,n,unknown,unknown,f,f,unknown,d,u
51298,edible,edible,True,0.0028615685146196903,high,4.46,x,s,o,f,p,unknown,n,5.35,11.54,unknown,unknown,n,unknown,unknown,f,f,unknown,d,u
31761,edible,edible,True,0.00018898012254139402,high,7.19,x,y,n,f,e,c,w,4.7,9.62,unknown,y,n,unknown,unknown,f,f,unknown,d,u
14880,edible,edible,True,0.0003804146904999442,high,9.93,x,s,y,f,a,d,w,7.76,12.64,unknown,i,n,unknown,unknown,t,unknown,w,d,u
8379,poisonous,poisonous,True,0.9998344964618218,high,2.73,f,unknown,w,f,x,c,p,8.32,4.02,unknown,unknown,p,unknown,unknown,f,f,unknown,l,u
43971,edible,edible,True,0.0015091193116672577,high,9.88,p,y,w,f,e,c,w,20.13,12.81,unknown,s,w,unknown,unknown,t,e,unknown,u,s
13198,poisonous,poisonous,True,0.9998512806857404,high,0.76,f,unknown,o,f,d,unknown,o,4.98,0.95,unknown,unknown,o,unknown,unknown,f,f,w,g,a
28111,poisonous,poisonous,True,0.9996830433320079,high,8.17,s,t,g,t,d,unknown,g,4.64,13.19,unknown,t,n,unknown,unknown,f,f,unknown,d,u
50247,poisonous,poisonous,True,0.9998619683850686,high,11.61,x,e,n,t,p,unknown,e,10.33,27.61,unknown,unknown,u,unknown,unknown,f,f,unknown,d,u
32015,poisonous,poisonous,True,0.9996857342227938,high,4.26,x,k,n,f,s,unknown,p,4.67,3.54,unknown,unknown,n,unknown,unknown,f,f,p,g,a
43120,poisonous,poisonous,True,0.996997851739398,high,7.22,x,y,w,t,unknown,unknown,g,7.69,13.38,s,unknown,w,unknown,unknown,t,l,unknown,d,a
59988,poisonous,poisonous,True,0.9999994346063877,high,3.09,o,unknown,k,f,f,f,f,3.21,12.16,unknown,g,g,unknown,unknown,f,f,unknown,d,u
43980,edible,edible,True,0.00030009133192462445,high,9.75,p,y,w,f,e,c,p,12.04,11.69,unknown,s,w,unknown,unknown,t,e,unknown,g,w
13095,poisonous,poisonous,True,0.9997038536435228,high,0.75,x,unknown,o,f,d,unknown,o,4.76,0.94,unknown,unknown,o,unknown,unknown,f,f,w,g,u
19364,poisonous,poisonous,True,0.9997751693260818,high,4.59,x,t,o,f,a,c,y,6.07,7.85,unknown,g,o,unknown,unknown,f,f,unknown,g,u
5738,edible,edible,True,9.363059210798117e-05,high,13.06,s,e,n,f,d,c,w,7.37,23.36,s,unknown,w,unknown,unknown,f,f,unknown,l,w
18319,edible,edible,True,0.0014788647994095822,high,7.34,f,s,n,f,s,c,w,6.7,10.53,b,i,w,unknown,unknown,f,f,unknown,l,a
42632,edible,edible,True,7.075011592482916e-05,high,7.12,x,i,n,f,e,c,p,5.14,14.41,unknown,unknown,w,unknown,unknown,t,r,unknown,w,a
12996,poisonous,poisonous,True,0.9999634772306072,high,0.82,x,g,y,f,unknown,unknown,y,3.82,0.86,unknown,unknown,y,unknown,unknown,f,f,unknown,d,u
37885,poisonous,poisonous,True,0.9993743167158997,high,0.99,b,t,n,f,unknown,c,k,3.39,2.56,unknown,unknown,n,unknown,unknown,t,f,unknown,g,a
19278,poisonous,poisonous,True,0.9998195512540574,high,4.56,x,t,o,f,a,c,y,5.31,6.49,unknown,g,o,unknown,unknown,f,f,unknown,g,a
36557,poisonous,poisonous,True,0.9999956084649768,high,3.85,b,s,y,f,unknown,c,k,9.1,7.28,unknown,unknown,y,u,w,t,z,r,d,a
7589,poisonous,poisonous,True,0.9999374990573101,high,4.49,f,l,e,f,x,d,y,4.75,4.41,unknown,unknown,n,unknown,unknown,f,f,unknown,d,u
28891,poisonous,poisonous,True,0.9986529915316182,high,7.62,s,d,e,t,d,c,w,7.02,9.96,unknown,unknown,n,unknown,unknown,f,f,unknown,d,u
41493,poisonous,poisonous,True,0.9999997833908681,high,10.84,x,i,y,f,a,unknown,y,11.1,20.54,r,unknown,o,unknown,unknown,t,r,n,d,u
39936,poisonous,poisonous,True,0.9601937353631652,high,2.45,f,unknown,w,f,a,c,w,3.19,3.47,unknown,i,w,unknown,unknown,f,f,unknown,d,u
13745,poisonous,poisonous,True,0.9999078710115286,high,1.71,x,g,y,f,d,d,n,2.33,2.61,unknown,s,n,unknown,unknown,f,f,unknown,d,a
49829,poisonous,poisonous,True,0.9980394104756868,high,16.36,x,k,n,t,p,unknown,y,9.91,36.08,c,unknown,y,unknown,unknown,f,f,unknown,d,u
33790,edible,edible,True,8.714931342489182e-05,high,7.0,x,l,w,f,d,unknown,p,3.36,8.85,unknown,unknown,w,unknown,unknown,f,f,unknown,d,a
21796,edible,edible,True,0.0024764065525617494,high,9.18,f,unknown,y,f,a,c,w,6.5,16.93,unknown,unknown,w,unknown,unknown,f,f,unknown,d,a
35639,poisonous,poisonous,True,0.9999744249520562,high,6.92,x,y,y,f,a,c,y,9.22,10.26,unknown,y,y,unknown,unknown,t,unknown,unknown,d,u
18395,poisonous,poisonous,True,0.9999891755505813,high,6.26,f,y,y,f,s,c,y,6.74,16.72,unknown,y,y,unknown,unknown,f,f,unknown,d,a
43073,poisonous,poisonous,True,0.9997445651960759,high,7.88,x,y,w,t,unknown,unknown,p,8.24,14.08,s,unknown,w,unknown,unknown,t,l,unknown,g,u
17134,poisonous,poisonous,True,0.999813301641854,high,6.77,f,unknown,y,f,s,d,y,5.61,14.74,unknown,i,y,unknown,unknown,f,f,unknown,d,a
11694,edible,edible,True,0.005525440394815225,high,1.15,x,g,n,t,a,unknown,p,5.32,0.98,unknown,unknown,n,unknown,unknown,f,f,unknown,h,u
34702,poisonous,poisonous,True,0.9997239206901125,high,2.51,b,g,y,f,unknown,c,n,6.3,3.16,unknown,unknown,n,unknown,unknown,f,f,unknown,g,a
29311,poisonous,poisonous,True,0.9989238979073857,high,3.44,f,w,n,t,d,c,n,4.03,5.82,unknown,unknown,n,unknown,unknown,f,f,unknown,d,u
16025,edible,edible,True,1.362030059901855e-05,high,6.42,b,h,k,f,s,d,g,5.71,10.25,unknown,s,g,unknown,unknown,f,f,unknown,d,a
1762,poisonous,poisonous,True,0.999908949678748,high,8.69,x,h,r,f,unknown,c,w,11.4,18.18,unknown,unknown,w,u,w,t,p,unknown,d,u
3154,edible,edible,True,0.0006414931219750987,high,20.88,f,y,w,f,unknown,unknown,w,24.79,20.44,s,unknown,n,unknown,unknown,t,m,unknown,d,a
35080,edible,edible,True,0.0003407936760789321,high,4.72,x,unknown,n,f,x,c,w,8.75,10.74,b,unknown,w,unknown,w,t,unknown,unknown,d,s
56904,edible,edible,True,2.6811450521982467e-05,high,9.17,f,e,b,f,unknown,c,b,5.08,18.88,unknown,unknown,w,unknown,unknown,t,f,unknown,d,a
36336,edible,edible,True,0.00030004750095965343,high,4.83,x,h,n,f,x,c,n,5.34,5.54,unknown,y,n,unknown,unknown,t,r,unknown,d,a
58013,poisonous,poisonous,True,0.9999999714031341,high,3.04,o,l,g,f,f,f,f,0.0,0.0,f,f,f,unknown,unknown,f,f,unknown,d,u
44493,poisonous,poisonous,True,0.9908570324005357,high,7.6,p,y,w,f,unknown,unknown,p,13.71,17.16,unknown,unknown,w,unknown,unknown,f,f,unknown,d,a
7370,poisonous,poisonous,True,0.9997379651836421,high,3.37,s,s,g,f,d,c,w,3.02,7.3,unknown,unknown,w,unknown,unknown,f,f,unknown,g,a
7248,poisonous,poisonous,True,0.9959885088315621,high,3.33,s,s,w,f,d,c,w,3.01,7.41,unknown,unknown,w,unknown,unknown,f,f,unknown,g,a
38473,poisonous,poisonous,True,0.9998503432098367,high,10.71,x,e,n,f,a,unknown,n,10.53,14.48,s,unknown,n,unknown,n,f,f,unknown,h,a
25484,poisonous,poisonous,True,0.9997371419389542,high,8.25,f,t,e,f,x,d,w,5.68,16.52,b,unknown,w,unknown,unknown,f,f,unknown,d,a
37040,poisonous,poisonous,True,0.9995416808711103,high,4.92,x,e,e,f,a,unknown,w,6.51,8.66,unknown,unknown,e,unknown,w,t,z,unknown,d,a
6083,poisonous,poisonous,True,0.9969284826281688,high,6.11,x,unknown,g,f,d,c,y,5.43,10.39,b,unknown,n,unknown,unknown,f,f,unknown,d,a
4701,edible,edible,True,2.2906899315345836e-05,high,3.29,x,unknown,u,f,unknown,d,u,5.88,4.89,unknown,unknown,w,unknown,unknown,f,f,unknown,d,u
55657,edible,edible,True,0.004578242738085292,high,10.43,f,unknown,w,f,d,c,y,2.52,14.74,unknown,unknown,w,unknown,unknown,f,f,unknown,d,a
11676,edible,edible,True,0.0026262688713735148,high,1.14,f,g,n,t,a,unknown,p,6.39,1.23,unknown,unknown,n,unknown,unknown,f,f,unknown,h,a
47042,poisonous,poisonous,True,0.9991623687079786,high,1.69,x,unknown,n,f,unknown,unknown,n,5.02,2.61,unknown,s,n,unknown,unknown,f,f,k,g,u
39683,poisonous,poisonous,True,0.9999390772278548,high,6.31,c,i,y,f,unknown,c,n,7.42,9.48,unknown,unknown,w,unknown,unknown,f,f,unknown,d,a
37076,poisonous,poisonous,True,0.9999657197437729,high,4.69,x,t,l,f,s,c,n,6.23,8.02,unknown,y,w,unknown,unknown,t,e,u,m,u
2934,edible,edible,True,0.0005409932874376248,high,15.78,f,y,w,f,unknown,unknown,w,21.82,19.33,s,unknown,n,unknown,unknown,t,m,unknown,m,u
32480,poisonous,poisonous,True,0.99998478366934,high,3.37,x,d,w,f,a,d,w,3.73,2.46,unknown,h,w,unknown,unknown,f,f,unknown,g,u
13461,poisonous,poisonous,True,0.999939237608482,high,1.24,x,g,y,f,d,d,n,1.38,2.34,unknown,s,n,unknown,unknown,f,f,unknown,d,a
7882,poisonous,poisonous,True,0.9992307821637822,high,3.74,f,d,n,f,x,c,w,4.68,2.86,b,i,n,unknown,unknown,f,f,unknown,l,a
34674,poisonous,poisonous,True,0.9998740211748061,high,1.76,b,g,o,f,unknown,c,n,6.93,3.45,unknown,unknown,n,unknown,unknown,f,f,unknown,m,u
31531,edible,edible,True,2.6180991660697053e-05,high,6.5,x,y,n,f,e,c,p,4.95,9.63,unknown,y,n,unknown,unknown,f,f,unknown,d,u
53869,poisonous,poisonous,True,0.9999826005060781,high,14.32,f,k,n,f,d,c,y,5.24,24.66,unknown,k,n,unknown,unknown,f,f,unknown,d,a
27537,poisonous,poisonous,True,0.9980345813443485,high,6.22,s,d,n,t,d,c,n,6.9,9.12,unknown,unknown,n,unknown,unknown,f,f,unknown,d,a
19485,poisonous,poisonous,True,0.9999181098145206,high,1.87,f,y,o,f,a,unknown,y,3.47,6.05,unknown,unknown,y,unknown,unknown,f,f,unknown,m,a
57358,poisonous,poisonous,True,0.997458104189965,high,1.56,o,k,n,f,unknown,unknown,n,4.7,1.53,unknown,unknown,n,unknown,unknown,f,f,unknown,d,w
32421,poisonous,poisonous,True,0.9999425516297308,high,4.05,b,t,n,f,x,c,p,5.64,3.87,unknown,i,n,unknown,unknown,f,f,unknown,d,u
22636,poisonous,poisonous,True,0.999657598610325,high,6.88,s,t,n,f,x,c,y,4.87,15.13,unknown,unknown,y,unknown,unknown,f,f,unknown,d,a
7648,poisonous,poisonous,True,0.9998724462634954,high,5.83,f,l,y,f,x,d,n,7.3,5.74,unknown,unknown,y,unknown,unknown,f,f,unknown,d,u
7615,poisonous,poisonous,True,0.9999256969781957,high,4.57,f,l,y,f,x,d,y,6.69,4.8,unknown,unknown,y,unknown,unknown,f,f,unknown,l,a
60009,poisonous,poisonous,True,0.9999990348916541,high,3.18,o,unknown,k,f,f,f,f,4.42,16.33,unknown,g,g,unknown,unknown,f,f,unknown,d,a
6080,poisonous,poisonous,True,0.9871221592459324,high,6.69,f,unknown,g,f,d,c,w,5.41,9.85,b,unknown,n,unknown,unknown,f,f,unknown,d,a
1341,edible,edible,True,0.0005593796978832658,high,10.21,f,unknown,n,t,unknown,unknown,w,11.22,19.19,b,unknown,w,u,w,t,g,unknown,d,u
57053,edible,edible,True,2.666900844654535e-05,high,10.16,f,e,b,f,unknown,c,b,4.67,18.98,unknown,unknown,w,unknown,unknown,t,f,unknown,d,a
45531,edible,edible,True,0.0058715109069186885,high,3.48,b,y,n,f,unknown,c,n,6.9,3.75,unknown,unknown,w,unknown,unknown,f,f,unknown,d,s
14562,edible,edible,True,8.98504723292429e-06,high,4.88,x,t,o,f,a,d,y,6.48,5.14,unknown,k,n,unknown,unknown,f,f,unknown,d,w
17114,poisonous,poisonous,True,0.999746799602123,high,5.87,f,unknown,y,f,s,d,y,6.27,13.91,unknown,i,y,unknown,unknown,f,f,unknown,d,a
31873,poisonous,poisonous,True,0.9997315970812047,high,2.92,f,k,w,f,s,unknown,p,3.93,2.89,unknown,unknown,n,unknown,unknown,f,f,p,g,a
